exposure,label,axis,method,ate,ate_lb,ate_ub,significant,n
wspeed_above_median,步行速度,Cohort_C,TLearner,-0.0625663630504387,-0.17413644098537936,0.011243584322710515,0,2435
wspeed_high_vs_low,步行速度,Cohort_A,CausalForestDML,-0.25219422969152827,-1.7223624331233522,1.2179739737402953,0,4811
wspeed_high_vs_low,步行速度,Cohort_A,LinearDML,-1.903140387613413,-3.2605209778211366,-0.5457597974056898,1,4811
wspeed_high_vs_low,步行速度,Cohort_A,DMLOrthoForest,-0.5413008742717239,-1.5793026883068837,0.49722697517319314,0,4811
wspeed_high_vs_low,步行速度,Cohort_A,ForestDRLearner,-0.0024849615255372695,-0.023345137769991257,0.018375214718916708,0,4811
wspeed_high_vs_low,步行速度,Cohort_A,SLearner,2.0785699438786076e-06,-6.506595232814752e-05,2.839326543338188e-05,0,4811
wspeed_high_vs_low,步行速度,Cohort_A,TLearner,-0.06203750453997046,-0.22609019343825215,0.06828232254065013,0,4811
wspeed_high_vs_low,步行速度,Cohort_B,CausalForestDML,-0.17717439315616035,-1.531708777809658,1.177359991497337,0,1425
wspeed_high_vs_low,步行速度,Cohort_B,LinearDML,-0.0809321838024461,-2.144994619361897,1.9831302517570037,0,1425
wspeed_high_vs_low,步行速度,Cohort_B,DMLOrthoForest,-0.2567970439447691,-0.958601550450068,0.44512441448582424,0,1425
wspeed_high_vs_low,步行速度,Cohort_B,ForestDRLearner,-0.001726869529189326,-0.038054532358699884,0.03460079330032123,0,1425
wspeed_high_vs_low,步行速度,Cohort_B,SLearner,0.0,-0.00011947368421052634,0.0003954684583799933,0,1425
wspeed_high_vs_low,步行速度,Cohort_B,TLearner,-0.027435425646023637,-0.19983167930982695,0.15193029313470746,0,1425
wspeed_high_vs_low,步行速度,Cohort_C,CausalForestDML,-0.14518795739431944,-1.6925575608926744,1.4021816461040355,0,964
wspeed_high_vs_low,步行速度,Cohort_C,LinearDML,0.6499684643699151,-1.5904684551314052,2.890405383871234,0,964
wspeed_high_vs_low,步行速度,Cohort_C,DMLOrthoForest,-0.3667626574411081,-2.0405055871367477,1.3090041402647221,0,964
wspeed_high_vs_low,步行速度,Cohort_C,ForestDRLearner,-0.0077843828184556456,-0.0490177581499605,0.0334489925130492,0,964
wspeed_high_vs_low,步行速度,Cohort_C,SLearner,0.001191542930769164,-0.00036597783358811956,0.0008425829875518734,0,964
wspeed_high_vs_low,步行速度,Cohort_C,TLearner,0.159597930967343,-0.0497587156473482,0.22144118869774557,0,964
adlab_c_no_difficulty,ADL无困难,Cohort_A,CausalForestDML,-0.006235996087338123,-0.4621418537956665,0.4496698616209902,0,8828
adlab_c_no_difficulty,ADL无困难,Cohort_A,LinearDML,0.045881929980717,-0.06910115828690633,0.16086501824834024,0,8828
adlab_c_no_difficulty,ADL无困难,Cohort_A,DMLOrthoForest,-0.013604644935016768,-0.2784159149470122,0.2507419625331444,0,8828
adlab_c_no_difficulty,ADL无困难,Cohort_A,ForestDRLearner,-0.011223765053781209,-0.06675005754475508,0.04430252743719265,0,8828
adlab_c_no_difficulty,ADL无困难,Cohort_A,SLearner,-0.000912386623949737,-0.003265163955632354,3.817510239257414e-08,0,8828
adlab_c_no_difficulty,ADL无困难,Cohort_A,TLearner,0.1354844026014503,0.030071692740086493,0.2645898188979449,1,8828
adlab_c_no_difficulty,ADL无困难,Cohort_B,CausalForestDML,-0.0536164842542504,-0.48693940690370524,0.3797064383952043,0,3123
adlab_c_no_difficulty,ADL无困难,Cohort_B,LinearDML,0.015681743029525873,-0.335474014300431,0.36683750035948265,0,3123
adlab_c_no_difficulty,ADL无困难,Cohort_B,DMLOrthoForest,0.03435170823548808,-0.3753057856744036,0.4406969563016321,0,3123
adlab_c_no_difficulty,ADL无困难,Cohort_B,ForestDRLearner,-0.01846003930497672,-0.0807022342885702,0.043782155678616735,0,3123
adlab_c_no_difficulty,ADL无困难,Cohort_B,SLearner,-4.8070277768118516e-05,-0.0033795907527651805,0.0004797960639347537,0,3123
adlab_c_no_difficulty,ADL无困难,Cohort_B,TLearner,0.12579033536066667,0.0011126897928998363,0.2593270171043874,1,3123
adlab_c_no_difficulty,ADL无困难,Cohort_C,CausalForestDML,-0.04969026270952525,-0.4563709579547289,0.35699043253567825,0,2435
adlab_c_no_difficulty,ADL无困难,Cohort_C,LinearDML,-0.16709557379739942,-0.563590145951468,0.22939899835666883,0,2435
adlab_c_no_difficulty,ADL无困难,Cohort_C,DMLOrthoForest,-0.18213387512468515,-0.7131668073373832,0.3391699308370375,0,2435
adlab_c_no_difficulty,ADL无困难,Cohort_C,ForestDRLearner,-0.010497349953571444,-0.08551175125532903,0.06451705134818612,0,2435
adlab_c_no_difficulty,ADL无困难,Cohort_C,SLearner,3.963665558215134e-06,-0.0032585172249146636,0.0006400320257155853,0,2435
adlab_c_no_difficulty,ADL无困难,Cohort_C,TLearner,0.0024658008300428567,-0.04268661012387605,0.06534763966080812,0,2435
